author,categoria,ciberacoso,texto,Unnamed: 4
Gabito413,2,1.0,"Como no, lameculos",
Betocoralg,0,0.0,"Papá no se quien eres, pero déjate de ser lameculos de esa señora, respétate tú mismo. Buen día.",
hemeloc,0,0.0,Asumo con orgullo de clase mi voto por Petro. Pero decir que soy cómplice es un insulto que no permito. COMPLICES los lameculos de todos los delincuentes que han desgobernado el país para enriquecer y mantener el statu que de la rancia oligarquía criolla que se ha robado al pais,
lucho_monteria,0,0.0,"LAS FUERZAS DEL ESTADO SE CONVIRTIERON EN LOS LAMECULOS DE LOS NARCOTRAFICANTES, POR ESO LOS GENERALES Y COMANDANTEN SALEN CON MANSIONES Y HACIENDAS SIN JUSTFICACIÓN",
Gabito413,2,1.0,Léelo bien Lameculos,
Gabito414,2,1.0,jajaj pobre Lameculos  Baboso!!!,
KeinerLpez1,0,0.0,"Estos hptas lameculos ni para mentirosos sirven los malparidos, poniendo tuis de una cuenta falsa diciendo que es el senador, de tanto lamer culo se les atrofia el cerebro.",
jairo65_,2,1.0,"Viejo sinvergüenza,solo dando noticias mal intencionadas y mentirosas,yo no sé cómo un lameculos como vos llegó a ese puesto",
CarlosOtalora9,0,0.0,Esto es noticia en los noticieros lameculos?,
_barbao,2,1.0,El propio lameculos.,
afgmunoz,2,1.0,La diferencia es que uno es tu patrón y vos un lameculos,
Karenscp8316,2,1.0,Este man si es que no oculta lo LAMECULOS que es.,
panomarioff,2,1.0,parece que a este lameculos mantecoso no le gusta,
colombianowar,2,1.0,jaja mediocreeeeeee lameculos,
Carly0211,2,1.0,"jaja la experta en lameculos dando clases como se debe arrodillar, no le da ni vergüenza a esta tipa, siempre queda en ridículo. ",
ucho_monteria,2,1.0,jajaja y te haces llamar activista político jajaj compa ni a payaso llegas. hp lameculos descerebrado,
manuelhm1997,2,1.0,"Calvo payaso, el niño de 45 que llora porque le hacen bullying, ridículo el lameculos del establecimiento",
MURDOCK,2,1.0,Habla una lamboba soba chaquetas y lameculos,
ivancardonaf,2,1.0,Rebuznó un pobre lameculos,
caucacaminante,2,1.0,"Pues no vaya, lameculos…",
gatto_eminem,0,0.0,"Partido de los lameculos. Toda su historia ha sido el más apegado a mamar de la teta del estado. Una partida de leguleyos mediocres con doctorados para robar y vivir del más pendejo. Sus gobiernos dejaron la matanza de las bananeras, el asesinato de Gaitán, el frente nacional…",
colombianowar,0,0.0,Se cayó la geta por qué no habla si no basura pague lo que debe mediocreeeeeee lameculos,
SantiRock28,2,1.0,Porque usted es un lameculos oportunista,
Phelipenav,2,1.0,Lameculos nivel Dios,
josdav91,0,0.0,"No. Petro sí sigue con la esencia de su lucha, por eso es presidente y el otro es apenas un lameculos de la clase política tradicional, mafiosa y corrupta.",
afgmunoz,0,0.0,falta que diga que Garavito sea el director del icbf aberrantes estos hijueputas lameculos les cuento que no le precluye el proceso al patrón tendrá que pagar ese hp paraco,
maomarmolejo,2,1.0,"Lameculos malparida, tenes que cuidar la mermelada",
_SOYGUTIERREZ,2,1.0,"Vicky, más lameculos que periodista.",
andycerque,0,0.0,"Los lameculos de las bodegas petristas salen en jauría a defender como sea al inepto descerebrado que los respresenta, aunque sea un imbecil para ellos es un mesías ""nazi""",
andycerque,2,1.0,Que catre hpta tan aburridor esta gonorrea mierdero . Lameculos petrista,
JairoHernanCas2,0,0.0,"Los bodegueros mandando a estudiar y a leer,unos hps que no conocen la historia y mandando a leer,unos lameculos que no saben que pasó en la época en q pablo escobar era el q mandaba,pablo escobar,el mismo que financio al M19 de donde salió el engendro q hoy destruye a Colombia",
august196526,0,0.0,"Que susto con ese no pues me voy a esconder, esos lameculos del petrismo dan es risa",
san_arbol,2,1.0,Lameculos cagamisiles vaya q se lo culee un rabino,
colombianowar,4,1.0,Lameculos y usted aprovecha para meter el cuchillo como delincuente que es,
alkatras1007,2,1.0,Trafuga vendido lameculos de petro,
G_Leon6,2,1.0,Dejar de decir payasadas lameculos,
RickAndrew24,0,0.0,"Acá se volvió normal. Ahí están Polo Polo, Scaff, Boreal, Nati Bedoya, Jonathan Ferney. Y lo que nos esperan cuando elijan a los Briceño, Portilla y demás lameculos…",
colombianowar,4,1.0,Un guerrillo como usted es que que debería estar en la cárcel o en otro lado lameculos,
marrokindj,0,0.0,"Te pusieron una tarea, desviar la atención de tu amo que va a juicio mientras  el lameculos de Barbosa hace su torcido en la fiscalía y vuelve a pedir preclusion del caso.",
Alejoppjs,0,0.0,"Rodeenlo ustedes Manada de lameculos impresentables, a los buenos funcionarios como el fiscal Barbosa es que hay que rodear.....Desgraciados corruptos",
ANDRESPOVDA,2,1.0,Payasa además de lameculos que más hace ?,
CamiloAndP,0,0.0,"ajjaja alguien q crea el lameculos es la solución, seguramente le falto ácido fólico durante su gestación.",
Fredy3169,0,0.0,"No sé necesita salir de Twitter para tener salud mental, tan solo dejar de ver comenté periodistas lameculos , así de sencillo",
GabrielJaimeSan,0,0.0,"Claro, con semejante lameculos montado por el cerdito, esclavo del sociopata narcoparamilitarasesino de uribe, quieren hacer lo posible por desaparecer las pruebas contra ese hampón…",
davidCalonge3,2,1.0,"Risa, para no llorar, 🤣🤣🤣 así como saliste como una lok disparada cuando te mostraron tus disfraces. Lameculos",
davidCalonge3,2,1.0,"Venga, Penélope, ¿Qué se siente ser un lameculos todo el hp día?",
HernnHe87696551,2,1.0,No zombie lameculos hjueputa,claro que nó.
ComoYoSiempre,2,1.0,La responsabilidad es del guerrillero y la negra hijueputa y ud lameculos de ellos RESENTIDO HIJUEPUTA,
afgmunoz,0,0.0,"Hp digo jp otro polo polo lameculos que llegaron a tan importantes cargos gracias a la ignorancia que reina en el país de ver tanto influencer estúpido e ignorante que habla barrabasadas, por eso los gobiernos no invierten en educar al pueblo lo quieren así estúpido e ignorante",
LuisRam84865155,0,0.0,"Los pogres resentidos, atenidos y mantenidos le cambian el nombre a todo para confundir al populacho, ahora le dicen RACISMO a la CORRUPCIÓN. Estos mamertos lameculos dan risa ... o lástima ?",
KeinerLpez1,0,0.0,"Estos hptas lameculos ni para mentirosos sirven los malparidos, poniendo tuis de una cuenta falsa diciendo que es el senador, de tanto lamer culo se les atrofia el cerebro.",
tupatronapesta,0,0.0,"No, lo relevante es que los imbéciles lameculos de la derecha, le dan incluso poderes sobrenaturales a su odiado Petro, su fanatismo y estupidez enfermiza los aleja de toda lógica, desean con pasión que el país esté en caos para que sus amos aparezcan como ""salvadores"".",
JairoGamba6,2,1.0,"Con su lengua, porque de lameculos si que sabe usted.",
MOGOYAAA,2,1.0,"NOOOO lameculos ! Cuanto te pagan por tw, trabaja flojo",
leorduz,2,1.0,Una vergüenza para este país es que haya tanto sapo petronio como ud. Un desgraciado lameculos de petronio,
freafuge,2,1.0,"eso no le compete a un alcalde, pelotudo de mierda paramilitar, a ver si por lo menos lees algo de lo que le compete a un alcalde, batracio lameculos",
Colombiansima2,2,1.0,"Presidente?, que yo sepa el Presidente es Gustavo Petro Urrego. Lambona, lameculos, chupamedias, lustrabotas. A esta burra lo único que le falta es rebuznar y caminar en cuatro patas.",
yajoechavez2012,0,0.0,¿Ser consultor político digital  o bodeguero lameculos de la derecha es un trabajo?,
giovani0110,0,0.0,Se podrá ser más lameculos en esta vida?,
homomutantis,0,0.0,"Difícil precisar cuál de los 4 candidatos es el mas arrogante, y eso sin invitar  Carrasquilla, a Zapateiro, a Duque y a otros tantos lameculos como PoloPolo.",
AndresJGarciaL,0,0.0,Esos lameculos petristas no dejan de sorprendernos... Antes decían que los supermercados quebraban a los tenderos de barrio... Y ahora...,
dmj389_dj,0,0.0,Siii claro mamerta ese cuento solo lo creen los petristas lameculos pero en realidad las personas están más hambrientas y  falta de oportunidades este desgobierno tiene a la gente más necesitada pasando física hambre,
Richard24Reyes,0,0.0,Que se puede esperar de esos HP lameculos chupaguevas lamezuelas servirles del uribismo,
Richard24Reyes,0,0.0,Jajaja estos lameculos chupaguevas lamezuelas servirles del uribismo ciegos brutos e ignorantes critican a Petro por tratar de arreglar el mierdero que dejó Duque pero aplauden todos los robos y atropellos del Uribismo.,
Cr7Jurios,0,0.0,Donde están los tinterillos lameculos qué se regalaban por unos cuantos likes defendiendo bandidos de primera línea para que apoyen la señora y hagan valer sus derechos como persona que fue víctima de malos tratos? Donde estáran?,
Cr7Jurios,0,0.0,Lo más indignante es qué ningún dizque abogado tinterillo lameculos hasta ahora se ha ofrecido para respaldarla y en protesta social se reragalan en cantidades como petateras para defender bandidos de primera línea a cambio de de un par de likes cierto,
gusnegocios,0,0.0,"Igual de predecibles a los periodistas lameculos que les ordenan lo que tienen que decir o sino los  tiran. Ustedes son una Vergüenza para el país, en parte son causantes de la gran polarización que hay en Colombia.",
ArlesRiveraMed1,0,0.0,"Juanita así como va, va a terminar como la lameculos de Claudia Gurisatti",
Felipe256559490,0,0.0,Ese tipejo viene de familia de corruptos 0 votos para ese lameculos,
J1_aguad,0,0.0,Jajajaja baia baia ahora hay que meterle la ficha al Bukele alimentado a punta de chontaduro. Un man que es más conocido por ser un Lameculos que por otra cosa. Báilame ese trompo con la uña viejo Miller.,
DiePater,0,0.0,Vivo en cali y me informo día a día d el que sucede en la ciudad y lo que vivimos es la falta de educación producto de padres malcriando jóvenes que salen a dañar la ciudad. Eso no se soluciona con cárcel como dice el lameculos que habla hasta paisa,
neljimenez78,0,0.0,"Vergüenza ajena, pero a ese bodrio de apellido Cabal ya la conocen por su ignorancia supina, su desprecio por los pobres los negros y los indígenas.
El Espectador lameculos más cerca del pasquín El Tiempo,presentando el recorrido bulloso de  la iletrada q aún se refiere la Urss.",
hectormario30,0,0.0,Hasta donde llega el periodismo lameculos q le preocupa q baje el desempleo hp,
afms1912,2,1.0,"Saquese los pelos de la lengua, lameculos",
hectormario30,0,0.0,"Puro lavaperro, lameculos acompaño en esa  marcha al matarife",
danielkh92,2,1.0,Usted se cayó de la cama cuando era bebé? O porque ese pensamiento que le sale tan del culo? Lameculos,
king_recharge,2,1.0,"Jajajaja seguí de Lameculos y ni ellos te ayudan, por qué son una mentira como vos.",
osedcas,2,1.0,Que LAMECULOS tan impresentable…,
lvalentinaisaza,0,0.0,"Amiga, deja solo a ese payaso si le pagan por hacerte sufrir ya sería millonario",
mmmmmpc,2,1.0,"Este hpta bobo dice que es lider de un MOVIMIENTO SOCIAL, pero es un payaso!",
ChChloza,2,1.0,Todo un payaso sos,
ChChloza,2,1.0,Yo opino que sos un payaso,
2373JENNY,2,1.0,Te dijo la verdad payaso 🤡,
alf13870876,2,1.0,"No se payaso hp, así de desesperado esta malparido",
GrofdeColombia,2,1.0,"jaja payaso, nadie te cree",
Diegover1972,2,1.0,"Si no fueras tan chillon y payaso, a lo mejor!",
builder_work,0,0.0,"Higuita fué un payaso en el arco que le arruinó un mundial a la selección y nunca hizo nada relevante en ella. La selección del pibe, Rincón y Asprilla ganó algunos partiditos y nada mas.",
99J12P,2,1.0,jajajaja este payaso es tan bruto que se cree sus propias bobadas,
Alonzo_Jarris,2,1.0,Este payaso hoy se metió todo el bazuco qué pudo.,
Alonzo_Jarris,2,1.0,El propósito de este payaso es hacer el ridículo y cada vez caer más bajo,
venus66948,0,0.0,"La payasada bien montada, bueno, ni también hecha, aquí salio el otro payaso 🤡 😂",
UrbanoOrles,4,1.0,PAYASO PEDERASTA!!!,
UrbanoOrles,0,0.0,"Payaso aquel que justifica lo injustificable, Con este Narcogobierno y lo que le hicieron a la niñera !!!",
RoronoaZoro2013,2,1.0,"Ay deje de ser delicado bobo hpta, vendido te mal pa ri do de 💩, te quiero ver hablando esas mismas chimbadas cuando esa loca cabal hace lo mismo... Payaso hpta",
AvProgramatica,0,0.0,El ministro es como payaso dice que la sra firmó un consentimiento preguntamos quién no firma un consentimiento bajo presión y en estado de indefensión y temiendo por su vida ?,
RoronoaZoro2013,2,1.0,"Ay ya sabemos gran malparido que usted es un machista igualito a ese payaso, valientes con las mujeres, y detrás de un teclado, pero con otro hombre son severas cagalastodas bobo hpta",
AvProgramatica,0,0.0,Payaso quien no firma un consentimiento bajo presión y en esta de indefensión?,
fincaraizJC,0,0.0,Este payaso va a hacer lo mismo que Chávez. Veremos cómo le sale la vuelta,
profetadanielr,0,0.0,"este payaso, si es el propio enemigo de la democracia",
fincaraizJC,0,0.0,Definitivamente tenemos un payaso en el gobierno,
Dieterarq,0,0.0,"Repugnante lo que le hicieron a la chica, denunciar al payaso que se pasó de guache en hacerle eso, eso no es gente normal",
oscar7ps,2,1.0,Payaso,
jhonjairom702,2,1.0,Que les asombra de este PAYASO?,
ChChloza,2,1.0,Tras de payaso mentiroso,
JhonElasso,0,0.0,"Bueno, ya entenderás que vos no tenes ninguna autoridad para hablar, sobre ""tener vida propia"" payaso regresate al circo de dónde te saliste. ",
rozo_juan,4,1.0,Que Man tan payaso 🤡. Este es de esos típicos bandidos que tiran la piedra y esconden la mano. Este es un cabecilla de la primera línea. Terrorista!!!,
WilliamEspino19,0,0.0,"Y en Cali, en vez de tener orden, autoridad, lo que tenemos es un alcalde payaso 🤡🤡, que le quito autoridad a diferentes entidades, y que la gente falta de cultura hagan lo que quieran. ",
efrencormach,2,1.0,"Si me me dijeran que me van a pagar por decirle a usted baboso, pelmazo, bueno para nada, inepto, mediocre, mentiroso, payaso, le aseguro que diría que no, eso es ganarse la plata muy suave diciendo verdades.",
jcampel91,2,1.0,"Cumpliendo con la agenda que te imponen tus jefes. Cierto, payaso de mierda?",
mmmmmpc,2,1.0,Q chimba ver como le dan varilla por BRUTO! 😂😂😂 digno representante de la izquierda enchimbada. Jajajaja payaso hijueputa,
Marlonu66843,0,0.0,Nones relator es un payaso con micrófono,
efrencormach,2,1.0,Baboso vende humo. Nadie te cree payaso!!!,
JimmyFalconi4,0,0.0,Que se puede esperar de un payaso como Barbosa. Un completo idiota que encontró su cargo en un paquete de chitos,
CarolinnaRoja,0,0.0,Mucho hpta usd se hizo elegir odiando la derecha y a uribe. Ahora lo defiende 🤣🤣 payaso,
Wilwea19,2,1.0,Ese Jarlan es un Hijo de Puta payaso! 🤮,
Lvallecilla,2,1.0,"Payaso y todo, mejor informado que usted, bodeguero.",
AndresA72539234,0,0.0,"Tenemos a Chucky al frente de la ciudad, un muñeco diabólico payaso y corrupto.",
modios28,0,0.0,Un baboso que escribe estupideces y que se ufana de ser un buen payaso.🤡,
difzara87,2,1.0,El pobre serás vos payaso. No necesito nada de nadie. Pendejo hp.,
difzara87,1,1.0,"12 años vos con con esa foto de perfil. Habla pues cuándo y dónde o te da culillo, payaso.",
hobbitchaman,0,0.0,Q bonito ya no les tenemos miedo y lo mejor aún no les creemos payasos setentahptas,
DiegoMonederoO,0,0.0,"Así daban a Javier Milei el candidato a la presidencia de Argentina, lo daban de un economista payaso y loco y hoy arrasa todas las encuestas de intención de voto y puede llegar a ser el próximo presidente de Argentina.",
J1_aguad,0,0.0,Cómo vas a decir que lleva 3 años arrastrándose si hace dls años te quitó un título y el año pasado estaba metiendo a Tolima en una final? Eres payaso?,
1968Alzamendi,0,0.0,"Usted, que con su reforma laborarlos de 2002, quito los recargos nocturnos, dominicales y de festivos, sin generación de empleo, nos viene a hablar de eso??? No sea tan miserable!  Payaso!",
bicicolombi,2,1.0,Si su mamá se lo hubiera tragado usted no existiría pero bueno nada que hacer payaso,
Liceth05545181,2,1.0,"Ridículo, payaso!",
J1_aguad,0,0.0,"Se encontró 3 goles en 7 minutos, payaso.",
gabriel_antello,2,1.0,Usted espera ser reelegido? Jajajajajajja aaaaa jajajajajajaja esto es un circo 🤡 jajajaja pobre payaso ríe por no llorar.,
bazamila,2,1.0,Viejo payaso 😂,
Frank_Matematic,0,0.0,Yo hago uno del peor payaso que no hace reír ni a una hiena.,
2373JENNY,0,0.0,"A si se pasean los ladrones en Cali bailando como este payaso 🤡, la ciudad en manos de la delincuencia común y este inservible bien gracias!!!",
ollega2,2,1.0,Esperemos cuando los demanden conque vas a salir payaso.,
marinagcorrea,0,0.0,"25 de mayo día del payaso .pues  ese  día es de todos,  piensa cuantas veces,tienes el corazón en llanto pero muestras una mueca de risa y tus ojos  muestran gran tristeza ,así que ese día es repetitivo",
ktalinalbt,0,0.0,se las metió un payaso esos que andan jodiendo con los links de whatsApp?,
johantdp,0,0.0,El primer tontazo q salió con eso fue el payaso triste de daniel samper,
ArmandoMonty5,0,0.0,"Bobo hpta, al equipo que lo hizo grande la B, tiene la misma cantidad de títulos del circo aquel del cual se cree el payaso que más hace reír.",
incaraizJC,0,0.0,Asombroso que todo el entorno del payaso es una mierda. Tan raro.,
fincaraizJC,2,1.0,Payaso hijo de puta,
milttoncastril,2,1.0,este payaso da risa comparando un estudio de seguridad con un delito,
walterbra757,2,1.0,Como todo payaso 🤡 🤡 seguidor del hipnotizador de idiotas.,
aceroymurano,2,1.0,Payaso hpta el chiste se cuenta solo que cuenta más real malparido bodeguero extranjero.,
Juandav49906853,2,1.0,jajaja payaso de quinta y tu te convertiste en la bodega más paga de los petroburros,
julian_andr3s_,0,0.0,Paso básicamente porque no estuvieron presentes y ni la chica a hablado.En el momento donde tratas que tú argumento tome más fuerza insultando quedas como payaso,
SierraCode,0,0.0,"claro,  aun no tengo el asterisco como bolsillo de payaso 👀",
pascasio_pedro,2,1.0,Ahora dizque el defensor de los humildes. Payaso arribista!! Sinverguenza,
Jeffer1695,0,0.0,"40 años de gobierno de derecha y nunca acabaron con nada, ni lograron nada y ahora esperas que alguien lo haga en nueve meses, 🤦 dejé de ser tan payaso, madure a ver si entiende que todos buscamos lo mismo, paz y un país donde se pueda progresar de manera justa.",
edialber,0,0.0,"Deje ser payaso, le recuerdo q el pueblo es todo colombia no los 11 mm q votaron por el tal cambio, además de los votos comprados",
Ing_Erios,0,0.0,Lo de payaso se lo regalo no sea ordinaria. Lo del servicio de Internet y televisión no hay entre la 3 norte y la 2 norte con 44,
el_pillo1,0,0.0,"Q pereza caliescali con ese amarillismo siempre se sobre nota el Uribismo, del titular de esta cuenta, siempre en sus publicaciones tirándole al presidente y su primera dama, que de malo tiene ahora q este ruliendose un hueso cuando eso es algo informal y algún payaso la filmó",
vameva95,0,0.0,"Ade amiga date cuentaaaaa. Ahi no es, alejate de ese payaso no cometas el error de ana plis!!",
Ruben_sote,0,0.0,"jajaja disque se cayo la confianza en el gobierno, mucho pendejo opinando a lo bien, payaso es que son",
WhistongC,0,0.0,"Periodista ni que nada, ése es un payaso de 40 o 42 o bueno ya debe tener 50.",
eufrasio999,0,0.0,"Ese Fico es otro payaso deplorable,inepto,charlatán de plaza.",
cesararboleda,2,1.0,Este PAYASO no dice nada bueno pero igual nos hace reír mucho,
J1_aguad,0,0.0,"Va a criticar al futbolista con más títulos en la historia del país?, Payaso.",
Dontrin0,0,0.0,"Pana le está mostrando HECHOS!!! O sea vos en vez de atacar el argumento atacas el interlocutor, aquí el payaso sos vos que no sos capaz de debatir sino de insultar sin un solo argumento sobre el tema en cuestión.",
fnieva857,2,1.0,Pues andate para allá payaso burro ignorante,
cleytoncarm,0,0.0,"Jamás, en Cali se quema porque todos sabemos quién es, lo que apoya y que es mentira que un alcalde pueda construir una mega cárcel de la nada. A enredar al duende este payaso.",
David08642453,0,0.0,"Pero el es un personaje público yo lo sigo , eso no me impide decir que el es un payaso 🤡 que no es imparcial y el sesgo político es evidente , pero sobre todo es un payaso 🤡",
cegomez15,4,1.0,"Jajajaja, el payaso gobierna desde Twitter y desde el balcón, cuando no ebrio, bajo el efecto de otras sustancias o medicamentos.",
kido_rude,4,1.0,Jajajaja ahí esta el payaso terrorista el cambio es un circo de dementes y psicópatas,
UrbanoOrles,2,1.0,INEPTO PAYASO FRACASADO PERDEDOR,
alvaroJoseRD,0,0.0,Yo les voy a enseñar a tener presencia en línea sin verse como un completo payaso.,
javierdiaz1000,0,0.0,"el informe dice claramente que ella dudaba pero su novio le dijo que él se los había enviado, lo cuál no era cierto pero por payaso la embarró",
josekampf,2,1.0,Este tipo es un verdadero payaso 🤡,
Alonzo_Jarris,2,1.0,Se hace la paja este payaso cada vez que ocurren estas desgracias.,
pablolaezr,2,1.0,"No tiene ni idea de comprensión de lectura, mucho menos sabe escuchar... payaso!",
Rodri_Torcomian,0,0.0,que se puede esperar de Queijeiro igual? es otro payaso mediático más,
NandoGiraldo23,0,0.0,"Que gracioso es ver a este imbécil metiendo a la gente pobre para generar alarma, cuando en las imágenes que comparte no se ven mencionados. Los activistas de robledo son bien patéticos y ridículos.",
Brykingin,2,1.0,Mucho imbecil,
gbn42,2,1.0,"Es un estúpido, a lo mejor la madre es una kilos mortales, imbécil.",
bajadosrayas,2,1.0,Tenés esa cabeza llena de Mierda,
daniellstiven10,2,1.0,No podes ser tan imbécil.,
AtteJaime,0,0.0,Estoy mamado de tanta gente imbécil,
pascasio_pedro,0,0.0,"Es cierta mi hipótesis, desde Musk tuitero que paga chulo azul es un ímbecil asegurado.",
pascasio_pedro,0,0.0,"Tuitero con bandera de Ucrania, ímbecil asegurado",
Juan_Gallego14,0,0.0,"¿Cómo puede ser alguien tan imbécil? Decir que el nazismo es comunismo... Válgame Dios, eso ni un niño de quinto de primaria lo dice.",
Mierdismo,2,1.0,Dale Reinaldo rueda no tiene nada de responsabilidad seguí chupandosela por tu club pedazo de imbécil,
jamberidr,2,1.0,Imbécil la diferencia es que en el salvador se arrestan delincuentes a ca se les rinde pleitesía bobalicon.,
jpinchao061,2,1.0,Devolvete a primaria imbecil,
Jhowimi,0,0.0,"Que tipo más imbecil Barbosa,,la verdad nos merecemos estos satrapas,delincuentes.",
camilo2240,2,1.0,"Que hpta vieja tan bruta, y abogada?, que miedoooo. Esta petrista si es la campeona, jajajaa. Mucha imbecil",
jfsandoval06,2,1.0,"Uyy, este bobo hp cada vez me deja más perplejo, cada día supera más su grado de imbecil",
alex_barona0512,2,1.0,Deje su trauma imbécil,
fcrespov,2,1.0,"Eres el unico negro hijueputa, imbécil, tarado, verguenza de la raza, que solo habla mierda, esperando que lo claven los uribistas! ",
vameva95,0,0.0,"Horacio el tipico machito imbecil que piensa que la mujer debe ir en la cocina, gas de tipo la verdad dios me libre de un hombre como ese en mi vida. Es que no es bueno para nada, ni esposo, ni padre y muchooo menos arquitecto, como que solo es bueno pa robar ",
ccpb07,0,0.0,Me estresan esos hijueputas que viven sufriendo por lo que la gente publica y atención ✨lo sigue✨no es más fácil que dejes de seguir o bloquear pedazo imbecil?,
NatiCanesoJ,0,0.0,Que risa q de verdad aquí haya gente tan imbécil.,
Gabrielindaaaa,0,0.0,"Q fastidio las reacciones de Instagram, que es eso de “😂” ??? ríase bien imbecil",
mamertifachismo,2,1.0,No sé como existe gente tan recontra imbecil cómo este man jajaj y lo peor es que ya se reprodujo,
Gatofacho2,2,1.0,"Jajaja pobre imbecil, déjame adivinar, te caíste de la cuna cuando eras bebe y quedaste estupido de por vida?",
iamgabbbbs,0,0.0,Ya dejen de darle fama a este imbecil que literal es lo único que quiere lograr con sus comentarios de mierda. Cada tanto tiene que decir estupideces para que lo noten otras personas aparte de los pubertos raritos que consumen su contenido,
alfredobarajas,0,0.0,"Uno pensaría que El Tiempo es un medio de comunicación donde uno puede encontrar noticias importantes como las confesiones de mancuso o vainas asi, no semejante estupides de un imbécil que a nadie le interesa",
Sebasto19811,2,1.0,Usted es un pobre cobarde y un imbécil,
elprobabiIista,0,0.0,"Por supuesto que el Presidente llama la atención y por supuesto que nos hace hablar de él. Es el tipo de cosa que ocurre cuando tu Presidente es un completo imbécil, un redomado idiota.",
DavidGutiRomero,2,1.0,Jajajaja siga soñando calvo imbecil 🙊,
Santosbarata64,2,1.0,Imbécil.,
andregsu,2,1.0,Ustedes dijeron que la inversión extranjera se iba a ir del país. Los payasos son ustedes pedazo de imbécil.,
alerocaza1,0,0.0,"Que bien lo que hizo el otro vehículo.  Y el imbecil ese se enoja, ahh !!!",
nico_cacolas,2,1.0,Que pereza tener que seguir aguantando a semejante imbécil. La madre y padre de esta los debieron haber castrado.,
cegomez15,2,1.0,Que imbécil este hptaaaa,
cegomez15,2,1.0,"Jajajaja, que está tomando? Ahora sí se terminó de tostar este imbécil",
locko1337x2,2,1.0,Cállate imbécil que nadie te cree una mierda,
CarlosAZarate,2,1.0,A lo bien que sos el propio imbécil…,
GrofdeColombia,0,0.0,"Jajajajaja pobre imbécil, no ha podido comprender que Colombia ya no le come cuento, solo el se cree sus propias mentirás, es hora de que deje de meterse tanta porquería en el coco y piense para donde lleva el país, deje las alucinaciones y ""PIENSE""",
beamarqui,0,0.0,"Si imbécil, que no alcance para el mercado es pura percepción",
jorgeluism1971,0,0.0,"Cuál escándalo imbécil, escándalo lo que viene contando Salvatore Mancuso, la fiscalía, lo de Petro es puro bochinche de la prensa uribista que todavía no pueden aceptar de la derrota",
jnnogal,0,0.0,"Deja de encasillar que no todos serán así,por un imbécil de estos no nos representa como comunidad",
Incendiario7,0,0.0,"Pues ya que ella es doble moral etc etc, yo no hago parte de esa mayoria y si dire que West es un imbécil de igual manera la gente que defiende las porquerias que dice el machista, misógino, xenófobo, homofóbico, etc etc... Buenas noches.",
Pretoriano66,2,1.0,"¿Que espera imbécil? El modelo de la impunidad y permisividad de Colombia, pedazo de hp basura. Sobachaquetas de mierda",
juansu1212,0,0.0,A mi me da es como pena lo imbécil que me vuelvo por alguien,
Julianvalencla,0,0.0,"Dizque nunca jugó mejor que el rival, lo ven?… es que son hijuputas. La expulsión de cadavid fue en el area del DIm y porque cortó un ataque. Imbecil.",
DeSBryon,0,0.0,"Cual violencia? Karma instantáneo, el que nada debe nada teme… cierto? No creo que el cucho tenga ningún problema en comerse el mismo pollo que le dio al perrito sino está envenenado…. O que quiere, que le tire flores a un imbecil como ese?",
isitasandisita,0,0.0,Yo si soy la propia imbecil jsjsjsjsjsjsjsjsjs,
juliradical,2,1.0,Tremendo imbecil.,
Liceth05545181,2,1.0,No falta la o el imbécil que sale con comentarios nada que ver... Vaya a qué le den !,
AndrsCasanova10,2,1.0,Severo imbécil,
Maurox88,2,1.0,Es imposible llegar tan viejo a ser tan imbecil y ruin. Señor usted está rompiendo records,
fincaraizJC,2,1.0,Que repita la madre que parió semejante imbécil,
luisalb21370462,0,0.0,"Los colombianos no, Barbosa usted es el imbécil.",
damiantac2,2,1.0,Hay que ser muy imbécil y adoctrinado,
edlauncher,0,0.0,"La libertad de expresión no es sólo para los ""periodistas"". Daniel Samper Ospina es un IMBÉCIL y tenemos todo el derecho a expresarlo donde nos de la gana.",
DavidBeham,0,0.0,La gente si es imbécil defendiendo a semejante corrupta.,
elecbe,2,1.0,A mi porqué me sale los tuits de esta imbécil?🙃🙃🙂,
Erick616,2,1.0,"En pocas palabras, eres un imbécil 😅",
La paciencia,0,0.0,"La vieja estaba bien hasta un cierto punto, él tipo se comportó como ella dice un completo imbécil y ella no se sintió cómoda, se lo expresó y se fue. Si vas a una cita y te comportas como un imbécil no pretendas que la vieja se quede por educación, de hecho fue bastante educada.",
barrilete1880,2,1.0,UD PUEDE SER MUY ZORRO PERO SIGUE SIENDO EL MISMO IMBECIL.,
Lvallecilla,0,0.0,"En eso estoy de acuerdo con el fiscal, el comisionado de paz es un imbécil y debería ser removido de su cargo",
fcrespov,2,1.0,"que estupida eres, demuestras lo imbecil que eres, hasta fastidiosa te conviertes…",
duque_neira,0,0.0,Imbécil él si cree que va a quedar impune ante tantos delitos qué ha cometido.,
Rodriaguaclara,2,1.0,"Oiga atorrante adolescente de 70 años, las cifras dejan su Twitt muy mal parado, cuado será que va dejar de ser un imbécil?",
miguelacd9315,2,1.0,Pobre imbécil jajajaja con la estupidez que sale 🤣🤦🤡🤡🤡 la ignorancia es cosa muy HP de verdad 🤣 no hagas el ridículo más de verdad con cosas que no tenés ni idea,
Fernand33822170,0,0.0,"El único imbecil es Francisco Barbosa, cuando cree que los colombianos no nos damos cuenta la clase de charlatán y tramposo que es el.",
